N,종목명,현재가,전일비,등락률,액면가,시가총액,상장주식수,외국인비율,거래량,PER,ROE
59,CJ제일제당,"372,000","8,000",+2.20%,"5,000","56,002","15,054",22.98,"47,713",9.43,10.76,
60,LG디스플레이,"15,400",550,-3.45%,"5,000","55,104","357,816",17.00,"1,829,739",5.63,9.68,
61,맥쿼리인프라,"13,500",350,-2.53%,0,"54,654","404,846",14.78,"2,302,581",N/A,N/A,
62,한국항공우주,"54,500",200,+0.37%,"5,000","53,124","97,475",21.14,"1,247,212",60.09,5.19,
63,SK바이오팜,"66,600","3,000",-4.31%,500,"52,157","78,313",5.80,"122,118",-52.48,15.75,
64,F&F,"135,000","3,500",-2.53%,100,"51,715","38,307",12.66,"78,503",14.37,N/A,
65,한온시스템,"9,540",190,-1.95%,100,"50,925","533,800",17.20,"412,539",18.89,13.83,
66,삼성중공업,"5,560",140,-2.46%,"1,000","48,928","880,000",14.81,"2,152,451",-4.12,-36.89,
67,HD현대,"59,200",600,-1.00%,"1,000","46,764","78,993",16.60,"172,230",87.44,-1.99,
68,코웨이,"62,600","1,600",-2.49%,500,"46,199","73,800",60.90,"76,235",9.73,27.41,
69,KODEX 200,"31,310",715,-2.23%,0,"45,932","146,700",5.03,"6,504,340",N/A,N/A,
70,현대제철,"33,650","2,450",-6.79%,"5,000","44,904","133,446",20.89,"739,673",2.60,8.54,
71,금호석유,"146,000","5,000",-3.31%,"5,000","44,232","30,296",19.66,"54,107",2.62,47.76,
72,현대건설,"38,650","1,500",-3.74%,"5,000","43,039","111,356",23.68,"349,513",10.37,5.89,
73,DB손해보험,"60,600",200,+0.33%,500,"42,905","70,800",43.51,"92,795",4.60,13.38,
74,TIGER 차이나전기차SOLACTIVE,"17,240",495,+2.96%,0,"41,873","242,880",0.78,"12,008,329",N/A,N/A,
75,메리츠화재,"34,450",50,-0.14%,500,"41,555","120,625",11.25,"131,552",5.59,26.12,
76,오리온,"104,500",0,0.00%,500,"41,315","39,536",36.02,"180,349",15.71,12.75,
77,삼성엔지니어링,"21,050",750,-3.44%,"5,000","41,258","196,000",40.28,"1,309,340",10.90,20.67,
78,미래에셋증권,"6,630",210,-3.07%,"5,000","40,795","615,316",13.67,"710,065",4.95,11.66,
79,한진칼,"60,200",300,-0.50%,"2,500","40,190","66,761",14.42,"51,292",21.20,1.11,
80,한국타이어앤테크놀로지,"32,200","1,150",-3.45%,500,"39,888","123,875",36.62,"178,102",7.60,7.69,
81,GS,"42,750","2,600",-5.73%,"5,000","39,721","92,915",21.91,"564,085",2.64,15.55,
82,유한양행,"54,100",300,-0.55%,"1,000","39,618","73,231",18.10,"98,738",41.11,5.45,
83,에스디바이오센서,"36,950","1,400",-3.65%,500,"38,159","103,271",11.91,"184,620",3.37,72.47,
